3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh , 3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS , 15
3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE , 3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS , 12
bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg , 38gfemn6Ps54si7KeYZrPX3uLpiseuP7sX , 10
1KNm4K8GUK8sMoxc2Z3zU8Uv5FDVjrA72p , 3QFtYbR22en2AizTb7JVFA9bL2rf1fbNJr , 10
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j , bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97 , 9
bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg , 3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh , 6
1F3Cpgben5uRAMptnPRL9coAbKp9YmWqfb , 3BMEXxSMT2b2kvsnC4Q35d2kKJZ4u9bSLh , 5
bc1qtq5zfllw9fs9w6stnfgalf9v59fgrcxxyawuvm , 16HYWQ8HbyZV38mSAFYk5fnZgEeD27B6s2 , 4
bc1qtq5zfllw9fs9w6stnfgalf9v59fgrcxxyawuvm , 35WHp4Hid61peyH4tuhNunwRj2gtNB41Lo , 4
19VBqLkbMywnX5QMUg7LsHgbzsLh9as4MS , 18i4YXRrhmHCXjiw5pJoSxFCy3fA4ph9Lz , 4
3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1 , 3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS , 4
38gfemn6Ps54si7KeYZrPX3uLpiseuP7sX , 16HYWQ8HbyZV38mSAFYk5fnZgEeD27B6s2 , 3
bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg , 16HYWQ8HbyZV38mSAFYk5fnZgEeD27B6s2 , 3
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo , 3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6 , 3
bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u , 3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys , 3
16HYWQ8HbyZV38mSAFYk5fnZgEeD27B6s2 , 38gfemn6Ps54si7KeYZrPX3uLpiseuP7sX , 3
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97 , bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj , 2
bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u , 3JZq4atUahhuA9rLhXLMhhTo133J9rF97j , 2
35h49kvohPx5Pmtpt26P8o3KuSczsFLo23 , bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u , 2
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN , 3JsY8m7nG2K2siHXzqto612u36hAzF7C6X , 1
3QFtYbR22en2AizTb7JVFA9bL2rf1fbNJr , 3PdKaWwshFBWg6vAauToecqEAFtsuzyxGV , 1
3BMEXxSMT2b2kvsnC4Q35d2kKJZ4u9bSLh , 1F3Cpgben5uRAMptnPRL9coAbKp9YmWqfb , 1
18oP9DDaxKrC3XTMC2kZK1wLDGwUcky2oR , 3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys , 1
bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u , 16HYWQ8HbyZV38mSAFYk5fnZgEeD27B6s2 , 1
18i4YXRrhmHCXjiw5pJoSxFCy3fA4ph9Lz , 19VBqLkbMywnX5QMUg7LsHgbzsLh9as4MS , 1
bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg , 3EKWP3ZviLXudcoAfzammYQKwaz2zJKwQW , 1
16HYWQ8HbyZV38mSAFYk5fnZgEeD27B6s2 , 3PdKaWwshFBWg6vAauToecqEAFtsuzyxGV , 1
3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys , 3CkUo2ChW6ALJUrU2ugZPJMtisKMJKwz5M , 1
