Place,Address,Balance_BTC,Del_Week,Del_Month,Per_of_coins,First_In,Last_In,First_Out,Last_Out,Ins,Outs
158,14ACC7ftHQS6guKJi3FCTEyCw94dHnRZjJ,8022,,,0.04204,2020-02-24 15:58:27,2022-05-07 00:15:36,,,60,
159,13AiVabLoTcYTdaFcFYtpFFmCFagjiUwE2,8022,,,0.04204,2020-08-06 20:06:24,2022-05-07 00:15:36,,,61,
160,19yLTkx4jggSnjdiGkkhNwTjZUyY5T8kEA,8022,,,0.04204,2020-04-30 07:31:27,2022-05-07 00:15:36,,,63,
161,1CsAkAsjTTRAuRw39fRQj7pxKn3fjEuYsT,8022,,,0.04204,2020-03-16 00:02:56,2022-05-07 00:02:11,,,68,
162,18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,8021,,,0.04204,2013-04-25 00:16:44,2021-06-28 11:01:26,,,31,
163,bc1ql33jue567zn2v59ycgnd63vdu9y9lsc3xy4xx9,8019,8019,8019,0.04203,2022-06-30 07:59:43,2022-06-30 07:59:43,,,1,
164,3B1HV46gEobDSpS5uXkUqtuLEPZiEAHCws,8004,,,0.04195,2022-01-21 09:48:55,2022-06-24 21:57:31,,,3,
165,3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFU,8000,,,0.04193,2019-02-16 15:38:50,2021-07-06 13:13:11,,,13,
166,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,8000,,,0.04193,2009-02-22 10:50:53,2022-05-03 08:13:54,,,66,
167,18f6y4uWnLd7VPzfR2c1dMboihghXYHRH3,8000,,,0.04193,2020-05-08 19:01:11,2021-07-06 13:13:11,,,61,
168,1Lan1sQzYGViDZskUFmnitJvfejn2jYdNS,8000,,,0.04193,2018-12-06 02:33:33,2021-07-06 13:13:11,,,56,
169,17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV,8000,,,0.04193,2018-12-05 22:43:17,2021-07-06 13:13:11,,,57,
170,15mxk4fKk9ggQ4fikNWKpasahsdXZNdVu2,8000,,,0.04193,2018-12-05 19:48:58,2021-07-06 13:13:11,,,56,
171,1Fn4FSiHFr9SgbQ3ccsybN9f3RF1omst4x,8000,,,0.04193,2018-12-06 03:55:45,2021-06-12 09:57:22,,,57,
172,1HGdi2AtuvBUcdTFe62sKd7ZAFzoG7iQLb,8000,,,0.04193,2018-12-06 02:28:15,2021-06-12 09:57:22,,,57,
173,1FDzP5vQGMhCzeb9nH4AcUDnUbcHS22BMZ,8000,,,0.04193,2018-12-06 00:57:15,2021-07-06 13:13:11,,,56,
174,17J26KSDtNFPAUhCMwjcRNWhneMsXS75Ba,8000,,,0.04193,2018-12-05 21:46:54,2021-07-06 13:13:11,,,56,
175,12US3aeNibsxe7Lhascm4AmvGiTxwSdD4X,8000,,,0.04193,2018-12-06 01:15:23,2021-07-06 13:13:11,,,56,
176,17GyU83L63BtxtpDgv8LmhhtmvcrXbfVt1,8000,,,0.04193,2018-12-05 19:46:45,2021-07-06 13:13:11,,,56,
177,1Dr1pZDgpowHDGJrUNTithDL33TdriFMzE,8000,,,0.04193,2018-12-06 02:28:15,2021-07-06 13:13:11,,,55,
178,1N4yKFsFPjjoJyo3BAKUWpcs3SUghfgJkH,8000,,,0.04193,2018-12-05 21:46:54,2021-07-06 13:13:11,,,55,
179,16H2Fe9MgxZ1jXW3TaXbgWh3SJfwyxQUTp,8000,,,0.04193,2018-12-06 03:22:52,2021-06-22 05:21:13,,,56,
180,1KoiNofDvcUrrVfxgqpRZixWXNXo6d2kfQ,8000,,,0.04193,2018-12-06 00:20:19,2021-06-22 05:21:13,,,56,
181,1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe,8000,,,0.04193,2018-12-05 21:46:54,2021-06-22 05:21:13,,,57,
182,1LRXrhZRLVTjGCPFphPsXZfeHesRigm59r,8000,,,0.04193,2018-12-06 02:28:15,2021-07-06 13:13:11,,,55,
183,15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV,8000,,,0.04193,2018-12-05 22:45:47,2021-06-22 05:21:13,,,55,
184,1DdxS8CheskxKAPPbG8Uq4Qts8kS4x1tt2,8000,,,0.04193,2018-12-05 19:46:45,2021-07-06 13:13:11,,,55,
185,1NJdKoBkKQNg6aYL9HTKyQ5SgfjZQDz3y3,8000,,,0.04193,2018-12-06 04:09:08,2021-06-12 09:57:22,,,56,
186,12mJZGPCWf5C2ap2dUdJiuGr8eWAvi6E5M,8000,,,0.04193,2018-12-06 00:57:15,2021-06-22 05:21:13,,,56,
187,1GBWcQuY5aD6e2zrbdb38j7pizVr2wcJnC,8000,,,0.04193,2018-12-05 21:46:54,2021-06-22 05:21:13,,,55,
188,1T7m8nSs5Yh3YuLNoHPb5ehwN3LRVEchn,8000,,,0.04193,2018-12-05 19:46:45,2021-06-22 05:21:13,,,55,
189,1NQWCZqRYvANz3iX1Wnczpm277VEYvcAee,8000,,,0.04193,2018-12-06 03:55:45,2021-06-22 05:21:13,,,55,
190,1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a,8000,,,0.04193,2018-12-05 22:45:47,2021-06-22 05:21:13,,,54,
191,1FrfmxAhYRNU9ebotDHP9FqLbe54QZVcfi,8000,,,0.04193,2018-12-06 04:28:17,2021-06-22 05:21:13,,,54,
192,1FtHBKrYkDchMA1pwRTpYZ77TpfwSgh6iF,8000,,,0.04193,2018-12-06 05:10:20,2021-05-30 13:52:54,,,54,
193,1JeTiSWo8pYWcNaTH4c3CfheAwVDYRoy1Q,8000,,,0.04193,2018-12-06 05:10:20,2021-05-30 13:52:54,,,68,
194,17wADqWPK8wZfpRmPkauviq2VDBmhm82rM,8000,,,0.04193,2020-03-14 08:51:28,2021-05-30 13:52:54,,,61,
195,1EUgoa25tkqMUYh7PXzDfqqNP5PtHKZmct,8000,,,0.04193,2020-03-13 21:31:57,2021-05-30 13:52:54,,,55,
196,1AfHER73jneZAEAHNiz5dBKnrzeWcMJM5i,8000,,,0.04193,2020-06-12 18:15:32,2021-05-30 13:52:54,,,53,
197,1NJdqNoC7uPh7MqQhyEynRn9htstEELZDn,8000,,,0.04193,2020-05-06 20:51:08,2021-05-30 13:52:54,,,64,
198,15TbabdR3FKJMpRxDeEetezWKGJwdGXbTY,8000,,,0.04193,2020-04-22 19:06:24,2021-05-30 13:52:54,,,67,
199,1LuEe5Xkf1eA493SvsKwjPTS9RkW9JV9N2,8000,,,0.04193,2020-08-07 19:18:04,2021-05-30 13:52:54,,,62,
200,1Ja7G9JJRw8w8WWnMzw7PwYehhiZmhESkC,8000,,,0.04193,2020-07-08 17:13:45,2021-05-30 13:52:54,,,65,
201,1CptxmzfRyU2rF3VJ6q8wa2tkh3cm82p9P,8000,,,0.04193,2020-09-13 15:16:57,2021-05-30 13:52:54,,,59,
202,1PnsNtAqmHQKxyqKS843J9aegdJsXr5rpD,8000,,,0.04193,2020-08-21 13:37:15,2021-05-30 13:52:54,,,58,
203,1JnfbQerGjFHVq28945y1bhoUHpn6vKM9v,8000,,,0.04193,2020-09-14 21:19:34,2021-05-30 13:52:54,,,61,
204,1AXskHt4ZwVZLonZV8BMDxh4V65ec41KMJ,8000,,,0.04193,2020-10-28 17:27:42,2021-05-30 13:52:54,,,60,
205,1BcAtWddaU1jHWgQvM7dpM5SefoVgUHEuC,7998,,,0.04191,2020-03-13 10:28:08,2021-05-30 13:52:54,,,58,
206,bc1qawmmv08vqqdtcmhym0hjhhmnkyad2twst0paqv,7974,,,0.04179,2022-05-12 15:49:14,2022-06-24 18:21:26,,,5,
207,33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZ,7968,,,0.04176,2019-10-07 07:22:01,2022-05-10 02:23:50,2021-12-19 16:57:45,2021-12-19 16:57:45,23,1
208,1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD,7952,,,0.04168,2022-01-29 09:59:30,2022-06-24 21:57:31,,,4,
209,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,7941,,,0.04162,2010-04-10 16:02:35,2021-08-01 19:14:31,2010-04-10 18:15:16,2010-10-15 06:22:58,107,60
210,1B4U28Yc1JmSQbpzzSfavEskTPMvBRphyD,7881,,,0.04130,2020-11-02 22:43:16,2022-05-07 00:02:11,,,56,
211,34ovCavdkQgEYbrJk9Q1onhK7uWqq6J7DC,7876,,,0.04128,2018-11-27 02:42:08,2021-10-22 22:28:29,2018-11-28 23:30:31,2020-07-14 00:20:25,109,15
212,1L3Cqe4Zrk9EVUqE628Tumxo319argfXBX,7832,7832,7832,0.04105,2022-06-25 01:05:47,2022-06-29 19:37:50,,,4,
213,1KHw7yzqoWto1DCGqn7QihoLmzbYWCqNcR,7809,,,0.04093,2019-07-18 23:08:01,2021-09-09 21:28:47,,,22,
214,3A9qNS69dngSU2ak8BwZKEExeVnL2RqpYJ,7775,,,0.04075,2020-12-16 15:22:05,2022-06-27 14:28:35,,,30,
215,14vbdGfYS7UKMvc4334UZDvTMPFA2G7zCB,7743,,,0.04058,2020-11-26 21:50:44,2022-06-04 05:03:24,,,67,
216,1K8QG4fuswaWFZ2fmmuxVKaWibi9H95iGw,7743,,,0.04058,2020-11-30 17:53:04,2022-06-04 01:52:57,,,78,
217,1B1gTRphFdSx5MBRgKfh2SRbM6XhzEfVTX,7721,,,0.04046,2022-04-29 10:24:43,2022-06-24 21:57:31,,,3,
218,3HCdgNiAsjidcGx4eeMK9AXvXBfrnteunW,7700,,,0.04035,2017-12-12 15:27:40,2021-09-09 21:28:47,,,27,
219,36uUB2n49FnePNTojY6PhqusPmEmeqEb9b,7696,7696,,0.04033,2022-06-14 04:32:17,2022-06-24 21:57:31,,,3,
220,1DwSAnZw4Gk9FotgWZhRb3Nzqi4PLdU8M,7626,,,0.03997,2020-12-01 18:17:01,2022-06-04 03:49:08,,,85,
221,1JECFWTZsRw65y65DEVR2djXv2KMYfuo7A,7626,,,0.03997,2020-12-12 11:35:00,2022-06-03 06:40:06,,,87,
222,1JKDzFHcb6KBybKSquvMw1FrxXhvBdMiB5,7626,,,0.03997,2020-12-04 20:50:37,2022-06-03 12:39:57,,,85,
223,1361wC48gW19mKAJmAkdXScLZKYdXgViS9,7626,,,0.03997,2020-12-16 16:48:42,2022-05-04 06:30:39,,,130,
224,1Mt6STNGoHGuDziUSCagqTGNGrbDFSBxRn,7626,,,0.03997,2020-12-15 18:44:52,2022-05-04 06:30:39,,,131,
225,3CsoguAb6Jz2dsSEYp8Mn4xJ34LC7fJz9g,7620,,,0.03994,2022-05-10 05:12:24,2022-06-24 21:57:31,,,3,
226,1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdp,7519,,,0.03941,2020-12-17 04:25:55,2022-05-04 06:30:39,,,124,
227,bc1qk2q9ptkvfrtt3769hh85zvq88jyrulk6zgys2h,7500,,,0.03931,2021-07-27 13:47:45,2021-09-09 21:28:47,,,6,
228,1FZcb6BU1ZbHQJcby7vDF2Na1z9UmkGSSG,7441,,,0.03900,2020-12-18 17:43:19,2022-05-04 21:58:08,,,129,
229,19tiUa9nsPTgaqWNHaM9QyCfv4Wm9dVeYa,7441,,,0.03900,2020-12-21 15:53:02,2022-05-04 21:58:08,,,96,
230,1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2,7441,,,0.03900,2020-12-18 06:24:18,2022-05-04 21:48:05,,,133,
231,1C1sUtw6fYa1Yr5wexrH2ayT1ZykD9Sobx,7441,,,0.03900,2020-12-19 17:11:23,2022-05-04 22:10:35,,,123,
232,19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,7441,,,0.03900,2020-12-17 16:10:28,2022-05-04 21:48:05,,,129,
233,1BTZe5up5x86LCV9T9kz3LQkKGzcotZjYq,7395,7395,,0.03876,2022-06-19 14:20:28,2022-06-24 21:57:31,,,3,
234,1JfXLzQvYPZHNzX4vhH6aoetGDfcPD1YEX,7300,,,0.03826,2018-03-04 23:15:39,2021-09-09 21:28:47,,,24,
235,bc1qms2la25qtgh69e7v8eddhsz3gwlfzucwh6v0zvwk8ku36r3mczxq4zlfd5,7291,,,0.03821,2021-11-27 17:59:51,2022-06-24 21:57:31,2022-03-02 11:52:09,2022-03-02 11:52:09,4,1
236,18SN8PV997oDGtYmTPPD55GDaPtNNEGWeu,7119,,,0.03731,2019-06-09 14:39:23,2022-06-26 06:00:34,2019-06-10 12:48:46,2022-06-26 06:00:34,116,85
237,35h49kvohPx5Pmtpt26P8o3KuSczsFLo23,7051,,,0.03695,2021-04-29 09:47:57,2022-06-30 08:16:06,2021-04-29 12:41:27,2022-06-29 06:37:33,2980,2547
238,bc1qzk2pyxtahg64cx6gyq02vrw65fdxtpr253r4ygww9n2w2zjyy8wsnyc666,7011,,,0.03674,2020-02-25 08:28:18,2022-06-29 14:23:04,2020-02-25 08:53:43,2022-06-29 08:48:11,2417,2048
239,13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApH,7000,,,0.03669,2017-10-17 11:45:49,2021-09-09 21:28:47,,,22,
240,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,7000,,,0.03669,2011-05-27 16:03:02,2022-06-13 11:58:40,,,44,
241,15YMdTNT83UJqfpaZfDccy9yBYQFxHxVFt,7000,,,0.03669,2018-04-20 19:26:04,2021-09-09 21:28:47,,,24,
242,324rP14bzX8kW1JWt1J8ohZjDFyt2G68Kq,7000,,,0.03669,2019-02-16 16:13:01,2021-09-09 21:28:47,,,24,
243,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,6999,,,0.03668,2010-11-08 16:32:00,2022-04-01 06:02:45,,,33,
244,38C7LhtsbanuGUxeXguEvm2Gm2pSN2K175,6990,,,0.03663,2021-12-22 14:43:15,2022-06-24 21:57:31,,,2,
245,1Ac6fUJ2Uw4cdXu3YFjCsSqnQGRb7KW1Ec,6989,,,0.03663,2021-10-12 13:58:10,2022-06-24 21:57:31,,,2,
246,186XqVoL7TGxR3osoo4xn32wbYtb527raY,6977,,,0.03656,2021-05-07 04:33:06,2022-06-24 21:57:31,,,4,
247,19GEVekmu7wAgPFNcQNFHE7SYoj2snindR,6955,,,0.03645,2021-12-01 17:42:23,2022-04-06 16:27:40,,,26,
248,3QsGsAXQ4rqRNvh5pEW55hf3F9PEyb7rVq,6933,,,0.03634,2019-10-14 11:53:00,2022-06-28 08:18:26,2020-11-30 22:05:08,2020-12-30 15:16:00,13278,716
249,bc1qzxwdcxqj36ane625hkgjpg6p0pjg79u29qyrus,6901,,,0.03617,2021-07-25 14:30:01,2022-01-29 13:38:24,,,27,
250,17EFzE9jRZqz72UEVzWV6syu1vvNgcsuVY,6890,,,0.03611,2022-02-23 02:25:15,2022-05-11 23:18:17,2022-02-28 21:09:23,2022-05-11 22:44:42,14,11
251,1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ft,6878,,,0.03605,2017-07-29 03:55:33,2021-09-09 21:28:47,,,27,
252,bc1qxseuqx06djpmyumvwn02lx3q082mmnj6r0g6zxc28rkypsevpfqs8vz7lr,6731,,,0.03527,2022-02-08 03:12:17,2022-06-24 21:57:31,,,2,
253,19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6,6524,,,0.03419,2020-05-13 05:11:37,2022-06-30 08:28:28,2020-05-13 05:22:17,2022-06-30 08:28:28,68735,68687
254,1LVBnipcnkwqHKaXcHeV9gcbPMvByaJkqk,6522,,,0.03418,2017-07-31 16:56:01,2022-04-19 00:14:32,,,21,
255,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,6512,,,0.03413,2011-04-24 00:40:50,2022-06-13 11:58:40,,,29,
256,bc1qtq5zfllw9fs9w6stnfgalf9v59fgrcxxyawuvm,6511,,,0.03413,2021-03-26 15:40:21,2022-06-29 17:32:57,2021-03-29 15:08:29,2022-06-29 17:32:57,415,413
257,1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuE,6507,,,0.03410,2014-04-14 18:50:10,2022-02-17 09:44:25,2014-04-14 18:50:10,2020-12-03 23:18:39,193,74
258,bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu,6443,,,0.03377,2021-07-28 06:54:09,2022-06-30 08:35:27,2021-07-29 07:24:06,2022-06-30 08:35:27,130431,127671
259,3JsY8m7nG2K2siHXzqto612u36hAzF7C6X,6377,,,0.03342,2021-03-01 11:59:18,2022-06-30 08:33:00,2021-08-17 15:13:57,2022-06-16 08:57:36,36,12
260,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,6316,,,0.03310,2013-04-25 00:47:34,2022-01-08 05:44:30,,,30,
261,bc1q94w3mwak5llpj4np7vj7luxuv8g6xn3my3vuas,6274,6274,,0.03288,2022-06-17 09:45:15,2022-06-24 21:57:31,,,2,
262,3QFtYbR22en2AizTb7JVFA9bL2rf1fbNJr,6256,,,0.03279,2018-11-25 01:04:57,2022-06-28 17:44:19,2018-11-27 09:51:08,2022-06-28 22:17:18,951,923
263,bc1qz3m6agu2fsa9p6475xqk777axceyl07mhvwtrv80349mxyckelustuqyc7,6226,,,0.03263,2021-09-15 04:12:03,2022-06-30 06:47:08,2021-10-07 03:34:01,2022-06-30 06:47:08,36,35
264,1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs,6200,,,0.03249,2013-12-07 03:23:51,2021-09-09 21:28:47,,,30,
265,1JdTWTAubsDWXWd7wcsFwMuSapMBh6efrQ,6072,,,0.03182,2013-12-19 04:54:47,2021-10-10 20:54:55,,,34,
266,1EMQxNyqsSLkguWJsQmGTjwdL7YqbRVcVF,6057,,,0.03175,2022-03-31 14:25:17,2022-06-29 19:20:24,2022-03-31 15:37:01,2022-06-29 19:20:24,22,11
267,3JPauiFhP4K3AevmgNMFfMSN7pLZbuADJQ,6001,,,0.03145,2020-06-01 09:08:08,2021-06-22 05:21:13,2020-06-01 09:34:04,2021-02-10 04:15:06,32,5
268,1J3B2ucUpWjWPPpejUCoLN93Gwz3q65CTd,6000,,,0.03145,2019-07-24 18:35:27,2022-06-03 05:45:15,,,18,
269,138EMxwMtKuvCEUtm4qUfT2x344TSReyiT,5908,,,0.03096,2017-12-14 19:38:10,2021-09-09 21:28:47,,,25,
270,13n67sFKgqLDKp8gx8Xvm6scdfY4ZeaU8p,5700,,,0.02987,2017-09-21 16:00:01,2021-05-01 19:12:03,2017-11-24 06:31:19,2019-10-24 06:13:57,45,8
271,1HKrGmgY5W2FyU6FZhbT2Jd4cyLxpDXPYo,5689,5689,5689,0.02982,2022-06-30 00:43:22,2022-06-30 00:45:03,,,2,
272,1JtAupan5MSPXxSsWFiwA79bY9LD2Ga1je,5685,,,0.02980,2021-12-22 06:17:58,2022-02-23 05:54:25,2021-12-22 06:21:48,2022-02-23 05:54:25,6,2
273,3R2Hzkp1vKi5TNuLdUTiQphJQA6SKLa7zS,5650,,,0.02961,2020-08-17 23:30:29,2021-09-09 21:28:47,,,11,
274,147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,5650,,,0.02961,2021-01-03 01:51:23,2022-05-04 21:58:08,,,61,
275,18oP9DDaxKrC3XTMC2kZK1wLDGwUcky2oR,5648,,,0.02960,2020-10-23 19:08:06,2022-06-29 17:29:12,2020-11-05 21:20:09,2022-06-29 16:23:26,141,139
276,1DR93bfKVCUJkDvPuxbUAEtzYRaJEnwjNt,5600,,,0.02935,2017-10-06 18:06:13,2021-09-09 21:28:47,,,25,
277,1CCqLR8YrUMPFgYZWwLW8FkezbFjfeXD8n,5595,,,0.02932,2018-02-08 07:48:35,2021-09-09 21:28:47,,,22,
278,13Sscnm9MNVCLxLHCHm18dcmbroxDyN2X8,5517,,,0.02892,2020-01-13 11:37:32,2022-06-29 03:19:02,2020-01-22 22:09:54,2022-06-29 08:48:11,541,534
279,bc1quv866t7ke929gxttpgc2u30ffnczpgfrjugwxv,5500,,,0.02882,2021-01-13 14:47:30,2021-09-09 21:28:47,,,9,
280,1F3Cpgben5uRAMptnPRL9coAbKp9YmWqfb,5500,,,0.02882,2020-06-04 08:03:05,2022-06-23 21:27:36,2020-06-04 08:14:14,2022-06-29 06:37:33,213,209
281,356Zz26iW3tYd1xWJjVGa8CPbjC9W5EW9f,5500,,,0.02882,2018-10-31 22:16:32,2022-06-22 19:04:42,2020-08-21 20:06:31,2022-06-22 19:04:42,20,5
282,3ANziRvoBdNGkmGopgyhvzPuBvcL8sRL7S,5492,,,0.02878,2020-12-21 16:00:12,2022-06-02 22:41:33,2020-12-22 00:01:15,2022-06-02 22:41:33,17,6
283,bc1qrj8jwwea530rx00ldc22w8mnaclae4m54e6tgy,5482,,,0.02873,2022-01-19 19:14:15,2022-06-27 08:28:13,2022-01-19 20:20:34,2022-06-27 08:28:13,65,24
284,19VBqLkbMywnX5QMUg7LsHgbzsLh9as4MS,5402,,,0.02831,2021-07-14 18:08:23,2022-06-30 02:26:39,2021-07-16 20:04:17,2022-06-14 15:10:56,347,121
285,34Y5ZSnrqjtMHEr4aqQB16Nng8hqpyf7ne,5345,5345,,0.02801,2022-06-15 16:39:06,2022-06-24 21:57:31,,,2,
286,3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M,5285,,,0.02770,2019-05-12 21:41:50,2021-06-28 23:09:01,2019-05-12 21:59:33,2021-06-28 23:09:01,157,97
287,bc1qyd2k46lzcrt3cd3z0nrt9d99z6xnzvyn2r83a5z9xfg8adpyp0ss53fnz4,5270,,,0.02762,2021-02-04 14:17:46,2022-06-18 08:56:21,2021-03-25 21:28:25,2022-01-06 14:22:45,17,9
288,3H3b3kxRwoKDnJbdV2JdhJ5h7iPsHgFN4B,5256,,,0.02754,2021-08-31 13:01:14,2021-09-09 21:28:47,,,2,
289,34Knfd3NYNomfaCTzMbL5mAcYHuMFwWP7Y,5241,,,0.02747,2021-10-15 04:17:22,2021-10-29 13:31:11,,,4,
290,1BVtDi7txPCG2TH5Crd2Rw5MtpivbmoKgB,5186,,,0.02718,2017-06-12 20:43:56,2021-09-09 21:28:47,,,22,
291,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,5157,,,0.02703,2016-08-10 14:04:31,2022-06-30 08:33:00,2016-08-10 16:30:50,2022-06-30 08:33:00,354319,354315
292,3HNP2s6EE3GRe6bU7wwVhCAUyMucKh8Yzp,5138,,,0.02693,2021-02-20 03:43:07,2022-05-15 06:40:46,2021-03-26 05:53:42,2021-11-04 01:31:57,103,11
293,3BMEXxSMT2b2kvsnC4Q35d2kKJZ4u9bSLh,5123,,,0.02685,2019-07-17 14:13:26,2022-01-27 13:12:17,2019-07-20 13:29:00,2022-01-27 13:12:17,162,161
294,12CEGvJfHFCVGGUBTTA5yUaPHhchBPpuZK,5104,,,0.02675,2020-12-25 12:10:51,2022-05-20 02:49:40,2021-01-02 09:06:48,2022-05-20 02:49:40,60,45
295,3PdKaWwshFBWg6vAauToecqEAFtsuzyxGV,5082,,,0.02663,2020-12-02 05:49:36,2022-06-30 07:29:58,2020-12-02 08:11:57,2022-06-23 08:22:42,8513,8414
296,1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC,5075,,,0.02660,2014-02-21 02:04:52,2021-05-29 05:13:09,2014-11-08 17:23:04,2014-11-08 17:23:04,116,6
297,15n6boxiQj45oHcmDjtNMjh35sFWZX4PBt,5002,,,0.02621,2013-12-19 04:52:50,2021-09-24 18:14:37,,,32,
298,1ByHahn2PDryrcyRvbSnQQsUsqXDN3uXPb,5001,5001,,0.02621,2022-06-19 14:07:32,2022-06-19 14:20:28,,,2,
299,3GTQBv5B4PVVRn1FqhkceoT8YLCFnVEWbo,5000,5000,,0.02621,2022-06-10 02:51:22,2022-06-14 16:25:45,2022-06-13 05:34:24,2022-06-13 05:34:24,8,4
300,1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS,5000,,,0.02620,2011-05-17 14:09:56,2022-06-13 11:58:40,,,31,
301,18xGHNrU26w6HSCEL8DD5o1whfiDaYgp6i,5000,,,0.02620,2013-12-19 04:54:47,2021-05-29 05:13:09,,,32,
302,3JkfTdGnpNhK5xBjP6BzRsitZqnnVjQV1B,5000,,,0.02620,2021-04-01 15:58:50,2021-05-29 05:13:09,,,4,
303,bc1qlfmc6nv27d62s6zygjnjt6wm28klfh2gltg6ym,5000,,,0.02620,2021-12-03 05:04:35,2021-12-03 05:04:35,,,1,
304,1LH1dY82QFtNGinBpCakU5WcTUKRyuztTz,5000,,,0.02620,2020-06-21 09:29:29,2022-06-25 20:48:38,2020-06-21 10:53:48,2020-06-21 10:53:48,25,1
305,16Jka2DrvEGGJ6ks2kXRpxmQZLQmAFRoGk,5000,,,0.02620,2019-05-29 12:54:22,2021-05-29 05:13:09,,,16,
306,1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhR,5000,,,0.02620,2014-04-16 17:53:08,2021-05-29 05:13:09,,,31,
307,19z6WynrjHeD5MMv6919BuQRwybuen1sRv,5000,,,0.02620,2014-04-16 18:07:07,2021-05-29 05:13:09,,,31,
308,14RKFqH45xYPMpW4KQ28RB6XtrZ8XpEM5i,5000,,,0.02620,2013-12-19 04:54:47,2021-05-29 05:13:09,,,30,
309,1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9,5000,,,0.02620,2014-04-16 17:27:15,2021-05-29 05:13:09,,,30,
310,1NJQZhzYac89fDhQCmb1khdjekKNVYLFMY,5000,,,0.02620,2014-04-16 17:45:14,2021-05-29 05:13:09,,,30,
311,bc1q3nkt8j6rphj6ry7jynanqn8j82f9d5fxkan659,5000,,,0.02620,2021-11-30 04:15:56,2021-11-30 04:15:56,,,1,
312,12ytiN9oWQTRGb6JjZiaoWMAvF9nPWdGX1,5000,,,0.02620,2017-07-29 03:39:12,2021-05-29 05:13:09,,,24,
313,bc1qdxsg7cfsqrg8sq3cs8ptsafqs6drtyuxswrqga,5000,,,0.02620,2021-04-12 18:49:11,2021-05-29 05:13:09,,,3,
314,1LQKFmdYrN9egC5grf8Thbcuwwv4sE4RvP,5000,,,0.02620,2019-07-19 22:04:35,2021-05-29 05:13:09,,,18,
315,bc1qzwmsmdkesqecjtwtgg09zh7jeq0ny2xde9ztfe,5000,5000,5000,0.02620,2022-06-29 16:46:33,2022-06-29 16:56:12,2022-06-29 16:56:12,2022-06-29 16:56:12,2,1
316,3ELFXnaLivVJzw7s2FBdqgKsGKB4rVT8ma,4975,,,0.02607,2021-10-28 10:17:41,2022-06-29 09:53:47,2021-11-09 11:29:47,2022-06-20 06:34:26,33,25
317,bc1q7fm7g23tr9ap7pktqe32mxj7j3rls8th57edje,4906,4906,4906,0.02571,2022-06-30 07:59:43,2022-06-30 07:59:43,,,1,
318,13s2ce5YSeVeJbdjCA54r5WykWPYZg3gJH,4900,,,0.02568,2021-09-20 18:28:03,2021-09-20 18:28:03,,,1,
319,1Btud1pqADgGzgBCZzxzc2b1o1ytk1HYWC,4900,,,0.02568,2017-06-13 07:58:25,2021-05-29 05:13:09,,,24,
320,1BXZng4dcXDnYNRXRgHqWjzT5RwxHHBSHo,4900,,,0.02568,2017-06-13 07:58:25,2021-05-29 05:13:09,,,23,
321,1FXHxbZ8HiGDCUrkainA9RKzqfHHkGi1hu,4889,,,0.02562,2020-09-24 13:21:18,2022-06-29 09:50:47,2020-09-25 13:36:39,2022-04-13 08:58:22,33,7
322,1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj,4881,,,0.02558,2013-04-25 01:03:29,2021-05-29 05:13:09,,,32,
323,1FVd6EEQnfq8UPDTzfcCBKZTR4uGGJzbgH,4847,,,0.02540,2020-07-20 20:54:14,2021-05-29 05:13:09,,,23,
324,1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,4844,,,0.02539,2018-04-21 22:42:40,2022-06-30 08:35:27,2018-04-21 23:11:22,2022-06-30 08:35:27,1158451,1151557
