Place,Address,Balance_BTC,Del_Week,Del_Month,Per_of_coins,First_In,Last_In,First_Out,Last_Out,Ins,Outs
35,3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,23375,61.75,-15679,0.1225,2021-02-17 18:32:22,2022-06-30 00:15:39,2021-04-20 21:27:40,2022-06-28 22:17:18,372,338
36,14m3sd9HCCFJW4LymahJCKMabAxTK4DAqW,23220,10000,,0.1217,2020-03-09 03:20:10,2022-06-24 21:57:31,2020-03-09 06:59:21,2022-05-12 10:04:57,776,769
37,1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,22900,,,0.1200,2020-03-17 13:28:00,2021-06-13 20:07:16,,,29,
38,19r6sRMjuF5YnMPkohcD1fES8CdGGcpa9F,20680,506,,0.1084,2022-04-20 16:09:23,2022-06-17 00:55:41,,,30,
39,bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scfmr9p,20136,,,0.1055,2021-03-21 17:12:51,2021-03-21 19:32:52,2021-03-21 17:12:51,2021-03-21 18:47:47,165,40
40,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,20008,,,0.1049,2017-03-28 13:59:19,2022-06-22 23:21:21,2017-03-28 14:04:55,2017-03-28 14:04:55,65,1
41,bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg,19664,-4375,-1810,0.1031,2020-08-20 17:27:46,2022-06-30 07:59:43,2020-08-20 20:22:23,2022-06-30 07:59:43,5219,5215
42,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414,,,0.1017,2010-07-24 12:16:11,2022-06-17 00:55:41,,,97,
43,3K5dmrkBMS8ZVgERMLwiw7PJuG8GWTbo8e,18600,,,0.09748,2021-11-03 00:40:46,2022-06-17 00:55:41,,,3,
44,3EEDeu13ex19AqQBTZStVsAFy6j1gRwgWc,17653,14404,,0.09251,2021-06-09 15:47:22,2022-06-27 13:57:40,2021-06-10 12:37:12,2022-06-17 10:15:04,40,26
45,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,16786,,,0.08797,2018-12-23 00:50:38,2022-06-09 14:33:52,2019-01-28 18:14:31,2021-09-15 18:29:14,72,15
46,39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,16455,550.01,,0.08624,2021-02-24 13:55:08,2022-06-16 08:57:36,2021-06-29 12:40:38,2022-06-16 08:57:36,197,72
47,3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys,16406,1018,-40669,0.08598,2020-06-18 05:32:47,2022-06-30 08:07:26,2020-06-18 06:33:58,2022-06-26 02:57:26,2931,2769
48,15pqaBHFwFEphRqmXAPbs3QRLLPB7e2uMb,16320,679.72,945.26,0.08553,2021-08-10 21:29:15,2022-06-24 22:56:38,,,36,
49,34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,16307,,,0.08546,2021-10-22 20:49:49,2022-06-24 21:55:37,,,3,
50,bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q,16268,1000,-710.12,0.08526,2020-10-20 11:06:25,2022-06-27 08:54:50,2020-10-21 04:38:22,2022-06-21 06:23:47,221,146
51,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,15746,,,0.08252,2018-01-22 17:05:59,2022-06-22 23:21:21,2018-01-22 22:14:04,2018-01-22 22:14:04,68,1
52,bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,15000,-2900,-8130,0.07862,2022-03-04 09:50:52,2022-06-29 09:50:47,2022-03-04 10:15:56,2022-06-29 09:50:47,65,50
53,1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn,15000,,,0.07861,2019-07-19 21:30:09,2022-06-17 00:55:41,,,34,
54,3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ,14770,,,0.07741,2017-07-18 03:32:04,2021-05-14 13:12:31,2017-07-28 04:11:19,2021-05-14 13:12:31,119,118
55,3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,14510,,,0.07605,2019-02-01 15:46:33,2022-03-08 17:56:58,2020-08-15 16:55:25,2022-03-23 13:25:01,45,28
56,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,14500,-5000,-7900,0.07599,2018-09-28 14:43:50,2022-06-17 00:55:41,2020-03-17 13:28:00,2022-06-24 15:11:44,78,56
57,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,14403,-1800,-3901,0.07549,2019-01-22 17:38:08,2022-06-24 21:49:34,2019-01-24 20:11:53,2022-06-24 21:49:34,200,156
58,1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj,14041,,,0.07358,2019-11-01 19:09:34,2022-06-17 00:55:41,2019-11-01 23:34:32,2022-06-04 12:59:00,17,2
59,1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj,14000,,,0.07337,2018-01-17 04:20:58,2022-06-17 00:55:41,,,52,
60,36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXS,13500,-1000,,0.07075,2018-09-25 17:16:55,2022-06-22 23:21:21,2018-09-25 17:16:55,2022-06-22 19:04:42,35,3
61,bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,13003,,,0.06815,2021-07-27 13:39:28,2022-06-17 00:55:41,,,9,
62,18saWjMCchDTGWunefuDJSWNdz4p6KtfBL,12933,3060,,0.06778,2018-12-04 19:03:14,2022-06-17 11:20:46,,,100,
63,1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv,12854,2981,,0.06736,2018-12-04 19:03:14,2022-06-21 22:00:43,,,91,
64,3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1,12620,-62.82,-7392,0.06614,2021-03-31 22:50:28,2022-06-28 22:17:26,2021-05-13 21:28:09,2022-06-28 22:17:26,196,190
65,3EKWP3ZviLXudcoAfzammYQKwaz2zJKwQW,12332,-215.79,-563.28,0.06463,2020-11-04 12:58:52,2022-06-30 07:29:58,2020-11-04 13:21:36,2022-06-30 07:29:58,1643,1633
66,38gfemn6Ps54si7KeYZrPX3uLpiseuP7sX,12248,4746,,0.06419,2018-11-07 20:59:56,2022-06-30 07:59:43,2019-01-07 16:42:42,2022-06-29 22:29:47,1215,1211
67,1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG,12195,-10076,-3473,0.06391,2021-12-15 20:53:12,2022-06-29 21:19:27,2021-12-16 00:54:27,2022-06-24 20:42:12,77,53
